UID,Clear ID,Grade,Flesch Kincaid,Text,Sentence Score,Sentence Score Rationale,Vocabulary Score,Vocabulary Score Rationale,Tier 2 Words,Tier 3 Words,Archaic Words,Other Complex Words,Background Knowledge Assumption
262,2014,3,8.24,"When you go to buy a pet fish, you will probably get very detailed instructions on how to take care of it. Even before you go home with your new buddy, you will know a lot of useful stuff, like what it eats and how often you need to clean its tank. Now, if you tried to adopt an octopus, things would not be so easy. I mean, does it even have a mouth? Scientists have a similar problem. When we plan experiments using animals, we need to know a lot about them so that we can tell whether or not our experiments are affecting them. Since scientists cannot hope to learn everything about every animal, they decided to study just a handful of them and use those well-studied examples for their research. These well-studied creatures are called model organisms and, in this article, you will learn about the smallest of them.",very complex,"ss_annotator_1: Text is comprised of many complex sentences that express more than one concept.
ss_annotator_2: The sentence structure is very complex because it contains many subordinate clauses, compound sentences, and multiple ideas in individual sentences. However, the language used in the sentences are simplistic enough for third graders to comprehend. The second sentence contains basic information that third graders can understand even though it contains several ideas.
ss_annotator_3: Mostly compound sentences, but none with really complex subclauses.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
263,2014,4,8.24,"When you go to buy a pet fish, you will probably get very detailed instructions on how to take care of it. Even before you go home with your new buddy, you will know a lot of useful stuff, like what it eats and how often you need to clean its tank. Now, if you tried to adopt an octopus, things would not be so easy. I mean, does it even have a mouth? Scientists have a similar problem. When we plan experiments using animals, we need to know a lot about them so that we can tell whether or not our experiments are affecting them. Since scientists cannot hope to learn everything about every animal, they decided to study just a handful of them and use those well-studied examples for their research. These well-studied creatures are called model organisms and, in this article, you will learn about the smallest of them.",moderately complex,"ss_annotator_1: Text is comprised of many complex sentences that express more than one concept.
ss_annotator_2: Given that the multiple ideas within the sentence are at a lower level of comprehension, the text seems like it would be more modertaly complex for fourth graders. Fourth graders are better able to comprehend the complex sentence structures such as those in the second-to-last sentence. It contains a subordinate clause and a compound sentence but still maintains a lower level of complexity with the information it presents.
ss_annotator_3: Feels only moderately complex for grade 4.",moderately complex,"vocab_annotator_1: VCS: The ratio of complex words to total words in this text qualifies it as having ""vocabulary that is almost entirely not complex,"" and the complex vocabulary that is present does not ""impede comprehension"" in my opinion.
vocab_annotator_2: Text is interesting. Text is comprehendible and well written.
vocab_annotator_3: some complex words but a low ratio.","adopt, affecting, creatures, decided, detailed, examples, experiments, research, study, well-studied",model organisms,,,"Students are likely familiar with basic animal care and the concept of scientific study, but may not be familiar with the concept of model organisms in scientific research."
264,2022,3,8.78,"Fleshy fruits have high water content in the pericarp, and a fleshy mesocarp once they are mature. This means that fleshy fruits are juicier than dry fruits. The group of fleshy fruits includes many of the fruits that you may find in the grocery store, and many sweet fruits, such as peaches and apples. Pomegranates, although we eat the seed and not the fruit, also fall under this category, because their pericarp is soft and fleshy. Avocados, peaches, plums, and other fruits with pits are also fleshy fruits, because they have a thick and fleshy mesocarp. Peppers, cucumbers, and tomatoes are also examples of fleshy fruits, even though they are usually referred to as vegetables. In fact, most edible fruits fall into the category of fleshy fruits. These fruits use animals, such as birds or humans, to disperse the seeds.
Dry fruits are hard and dry when they are fully mature. The pericarp of dry fruits still has three layers—exocarp, mesocarp, and endocarp—but compared with fleshy fruits, they are thinner and do not have as much water.",very complex,"ss_annotator_1: Most sentences are complex, discussing more than one concept. This makes the text complex to follow.
ss_annotator_2: The first sentence contains two separate ideas. The third sentence has a subordinate clause and is a compound sentence. The third sentence is exceedinly complex because it contains multiple concepts as well as transition words.
ss_annotator_3: Lots of multipart sentences, also challenging words for grade 3.",moderately complex,"vocab_annotator_1: GL: I think this is appropriate, given that the text structure is simple, and the challenging vocabulary is explicated sufficiently for a third grader to make meaning of this text. 
 
 VCS: This one was tough, but given the density and repetition of domain-specific, Tier 3 vocabulary in this text, I think it rises to ""very complex""
vocab_annotator_2: Even though there are some complex words in text, students can use the context clues to help them with their comprehension of text
vocab_annotator_3: relatively easy text other than a few very specialized words.","category, content, disperse, edible, fleshy, mature, pomegranates","alexocarp, dry fruits, endocarp, exocarp, fleshy, fleshy fruits, mesocarp, pericarp",fleshy fruits,,"Students are likely familiar with basic plant parts and functions, such as seeds and fruits, but may not be familiar with specific terms like ""pericarp,"" ""mesocarp,"" or the classification of fruits as fleshy or dry."
265,2022,4,8.78,"Fleshy fruits have high water content in the pericarp, and a fleshy mesocarp once they are mature. This means that fleshy fruits are juicier than dry fruits. The group of fleshy fruits includes many of the fruits that you may find in the grocery store, and many sweet fruits, such as peaches and apples. Pomegranates, although we eat the seed and not the fruit, also fall under this category, because their pericarp is soft and fleshy. Avocados, peaches, plums, and other fruits with pits are also fleshy fruits, because they have a thick and fleshy mesocarp. Peppers, cucumbers, and tomatoes are also examples of fleshy fruits, even though they are usually referred to as vegetables. In fact, most edible fruits fall into the category of fleshy fruits. These fruits use animals, such as birds or humans, to disperse the seeds.
Dry fruits are hard and dry when they are fully mature. The pericarp of dry fruits still has three layers—exocarp, mesocarp, and endocarp—but compared with fleshy fruits, they are thinner and do not have as much water.",very complex,"ss_annotator_1: Most sentences are complex, discussing more than one concept. This makes the text complex to follow.
ss_annotator_2: Fourth graders would be better able to follow the complexity of the sentences but I would still consider this very complex. There are at least three sentences that would fit the definition for exceedingly complex but are balanced by the moderately complex sentences.
ss_annotator_3: overall seems appropriate for grade 4, and only moderately complex as the number of subclauses doesn't feel crazy",not scored,not scored,not scored,not scored,not scored,not scored,not scored
266,2024,3,8.37,"When an animal dies, its body changes in appearance. It will gradually disappear as it is eaten by other animals and bacteria. This process is called decomposition. When a sea turtle dies, the first thing that happens is that the body of the turtle, known as a carcass, sinks to the bottom of the sea floor. However, the bacteria in its intestines continue to live and produce gases, gradually making the body swell. Like a balloon filled with air, the body floats and rises to the sea surface. But, as the bacteria continue to decompose the body, the carcass will eventually develop holes and let out the gases that kept it on the surface. It sinks again and disappears to the bottom of the sea permanently.
The turtles found stranded on Virginia's beaches arrived floating. They had not yet released the gases they contained, otherwise they would have sunk and remained at the bottom of the sea without reaching the beach. Since we ultimately wanted to understand why these sea turtles died, we first needed to figure out where and when they died.",very complex,"ss_annotator_1: The text consists of mostly complex sentences.
ss_annotator_2: The first sentence is slightly complex and the second sentence is moderately complex. As the text continues, it increases in complexity of sentence structure with the third sentence containing multiple ideas and subordinate clauses. The next two sentences are very complex. The second paragraph contains less complex sentences but still includes multiple ideas.
ss_annotator_3: Not too many complex sentences, though there are some compound sentences. Overall feels like it's appropriate for third grade.",moderately complex,"vocab_annotator_1: GL: I think that the explication of the process of decomposition and its effect on the floating and sinking of a dead animal is sufficient enough to allow a student to make appropriate meaning absent a full understanding of all vocab.
 
 VCS: IMO, this meets the definition of ""vocabulary...presents challenges"", but ""does not completely block...comprehension""
vocab_annotator_2: Very intriguing topic for students to read about. 
vocab_annotator_3: Pretty high ratio of complex words. Seems too much for 3rd grade.","appearance, bacteria, carcass, contained, decomposition, disappears, eventually, gases, gradually, intestines, permanently, produce, remained, stranded, swell, ultimately","bacteria, carcass, decompose, decomposition, intestines, ultimately",,,"Students are likely familiar with basic animal life cycles and decomposition, but may not be familiar with the specific process of sea turtle decomposition or the investigation of stranded marine animals."
267,2024,4,8.37,"When an animal dies, its body changes in appearance. It will gradually disappear as it is eaten by other animals and bacteria. This process is called decomposition. When a sea turtle dies, the first thing that happens is that the body of the turtle, known as a carcass, sinks to the bottom of the sea floor. However, the bacteria in its intestines continue to live and produce gases, gradually making the body swell. Like a balloon filled with air, the body floats and rises to the sea surface. But, as the bacteria continue to decompose the body, the carcass will eventually develop holes and let out the gases that kept it on the surface. It sinks again and disappears to the bottom of the sea permanently.
The turtles found stranded on Virginia's beaches arrived floating. They had not yet released the gases they contained, otherwise they would have sunk and remained at the bottom of the sea without reaching the beach. Since we ultimately wanted to understand why these sea turtles died, we first needed to figure out where and when they died.",moderately complex,"ss_annotator_1: The text consists of mostly complex sentences.
ss_annotator_2: Fourth graders can better follow the complex sentences because the ideas within the complex sentences are more basic. The cause and effect relationships within the sentences are appropriate and address fourth grade level standards.
ss_annotator_3: Only moderately complex because it's about half compound sentences.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
268,2035,3,6.99,"There are thousands of different enzymes and each one is specific to the reaction which it catalyzes. Enzymes have names which show what they do. Enzyme names usually end in –ase to show that they are enzymes. Examples of this include ATP synthase. It makes a chemical called ATP. Another example is DNA polymerase. It reads an intact DNA strand and uses it as a template to make a new strand.
One example of an enzyme is amylase, found in saliva. It breaks down starch molecules into smaller glucose and maltose molecules. Another kind of enzyme is lipase. It breaks down fats into smaller molecules, fatty acids and glycerol.
The proteases are a whole class of enzymes. They break down other enzymes and proteins back into amino acids. Nucleases are enzymes that cut DNA or RNA, often in specific place in the molecule.
Enzymes are not only for breaking large chemicals into smaller chemicals. Other enzymes take smaller chemicals and build them up into bigger chemicals, and do many other chemical tasks.",moderately complex,"ss_annotator_1: Most sentences are simple although there are a few that are complex.
ss_annotator_2: The sentences are mostly simple sentences. There are a few compound/complex sentences.
ss_annotator_3: Only moderately complex because there are just a couple compound sentences. But too academic for the grade level.",exceedingly complex,"vocab_annotator_1: When reading the article I looked at it through the eyes of a third grader. By the background knowledge assumption, the students have no idea what these vocabulary words mean because of the lack of enzymes information they know. If they knew more about them before reading it would be ore grade level appropriate, but that many new words would defiantly frustrate and make this very hard. 
vocab_annotator_2: This passage holds a lot of good information, but it's presented in a complicated way by using a lot of big scientific words. Using some scientific words is great, but using this much is pushing it, especially for an independent reading text. The Tier 3 words that I listed would cause a typical third grader to stumble and lose focus during the reading. The student would be more focused on correctly reading or pronouncing then understanding the challenging vocab word as opposed to focusing on comprehension.
vocab_annotator_3: Way too many tier 3 words for it to be readable to 3rd grade.","build, catalyzes, chemical, class, intact, reaction, smaller, specific, starch, strand, tasks, template.","amino acids, amylase, atp, atp synthase, catalyzes, dna polymerase, enzymes, fats, fatty acids, glucose, glycerol, lipase, maltose, maltose molecules, molecules, nucleases, nucleases., proteases, proteins, rna, synthase",,synthase,"Students are likely familiar with basic concepts of digestion and the role of saliva, but they are not likely familiar with the specific functions and types of enzymes or the biochemical processes they catalyze."
269,2035,4,6.99,"There are thousands of different enzymes and each one is specific to the reaction which it catalyzes. Enzymes have names which show what they do. Enzyme names usually end in –ase to show that they are enzymes. Examples of this include ATP synthase. It makes a chemical called ATP. Another example is DNA polymerase. It reads an intact DNA strand and uses it as a template to make a new strand.
One example of an enzyme is amylase, found in saliva. It breaks down starch molecules into smaller glucose and maltose molecules. Another kind of enzyme is lipase. It breaks down fats into smaller molecules, fatty acids and glycerol.
The proteases are a whole class of enzymes. They break down other enzymes and proteins back into amino acids. Nucleases are enzymes that cut DNA or RNA, often in specific place in the molecule.
Enzymes are not only for breaking large chemicals into smaller chemicals. Other enzymes take smaller chemicals and build them up into bigger chemicals, and do many other chemical tasks.",moderately complex,"ss_annotator_1: Most sentences are simple although there are a few that are complex.
ss_annotator_2: Same reason listed above: the sentences are mostly simple sentences with few compound/complex sentences.
ss_annotator_3: Only a few compound sentences so feels only slightly complex. But the academic language makes it too challenging for grade level.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
270,2037,3,8.42,"Temperature changes cause pieces of rock to flake away from the surface. Also, the acid in rainwater dissolves rocks containing calcium carbonate. These processes are called weathering.
Water erosion happens when water moves the pieces of rock or soil downhill. Waves also carry away small pieces of material. A wave can wash up onto the surface of rock or soil and then carry away pieces of material as it flows back into the ocean or lake.
The size of earth materials that can be moved by water depends on how fast the water is moving. A fast-flowing stream can carry large rocks while a slow-moving stream might only be able to carry very small things like clay. Canyons are among the most obvious features made by erosion. Where a river meets the sea, it drops the solids, sometimes making a river delta.
Large tropical rivers like the Paraná, Indus, Brahmaputra, Ganges, Zambezi, Mississippi and the Amazon carry huge amounts of sediment down to the sea. The Nile, perhaps the world's longest river, carries much less sediment than the others because, part of the way, it runs through less fertile regions than the other great rivers.",very complex,"ss_annotator_1: The second and third paragraphs of the text have multiple complex senences.
ss_annotator_2: There are complex and compound sentences along with transition words and coordinating conjunctions. Some of the sentences have more than one idea which I believe third graders might have trouble following.
ss_annotator_3: This text is appropriate for a grade 3 student because it contains a good balance of simple, compound, and complex sentences. Some of the sentences contain more than one concept, and these concepts are clearly and easily linked via conjunctions or transition words. The last sentence is one exception--the subordinate clauses / phrases may cause confusion multiple concepts and the main idea is interrupted.",very complex,"vocab_annotator_1: The section looks good for a 3rd grader. The wording isn't very complex and the vocabulary is not over loaded. The only reason I think it is complex is because of the river names student's haven't heard of. They will get tripped up with pronunciation. Also I believe there is a typo on the first river name. 
vocab_annotator_2: There are a lot of challenging words paired with a few simple terms, which makes the passage flow a bit tougher for a third grader to independently read. In my opinion, the words are a bit more challenging than a typical third grader would know. The Tier 3 and complex words would be difficult for a third grader to read fluently and to actually understand. I feel that these vocab words would need to be further explained for an average third grader to comprehend its meaning in relation to erosion patterns.
vocab_annotator_3: A high ratio of complex words for the grade level.","clay, contain, containing, dissolves, erosion, features, fertile, materials, obvious, processes, regions, stream","calcium carbonate, canyon, delta, fertile., river delta, sediment, weathering",,"amazon, brahmaputra, ganges, indus, Mississippi, Paraná the nile, Zambezi","Students are likely familiar with basic concepts of weathering and erosion, as well as the idea of rivers and their features, but may not be familiar with specific details about large tropical rivers and their sediment transport."
271,2037,4,8.42,"Temperature changes cause pieces of rock to flake away from the surface. Also, the acid in rainwater dissolves rocks containing calcium carbonate. These processes are called weathering.
Water erosion happens when water moves the pieces of rock or soil downhill. Waves also carry away small pieces of material. A wave can wash up onto the surface of rock or soil and then carry away pieces of material as it flows back into the ocean or lake.
The size of earth materials that can be moved by water depends on how fast the water is moving. A fast-flowing stream can carry large rocks while a slow-moving stream might only be able to carry very small things like clay. Canyons are among the most obvious features made by erosion. Where a river meets the sea, it drops the solids, sometimes making a river delta.
Large tropical rivers like the Paraná, Indus, Brahmaputra, Ganges, Zambezi, Mississippi and the Amazon carry huge amounts of sediment down to the sea. The Nile, perhaps the world's longest river, carries much less sediment than the others because, part of the way, it runs through less fertile regions than the other great rivers.",moderately complex,"ss_annotator_1: The second and third paragraphs of the text have multiple complex sentences.
ss_annotator_2: there are complex and compound sentences along with transition words and coordinating conjunctions. I believe that fourth graders would be able to follow the more complex sentences.
ss_annotator_3: For a fourth grade student, this text may be very easy, but the variety of sentence types makes it more cognitively stimulating.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
272,2038,3,7.3,"Ethernet is a way of connecting computers together in a local area network or LAN. It has been the most widely used method of linking computers together in LANs since the 1990s. The basic idea of its design is that multiple computers have access to it and can send data at any time. This is comparatively easy to engineer.
If two computers send data at the same time, a collision will occur. When this happens, the data sent is not usable. In general, both computers will stop sending, and wait a random amount of time, before they try again. A special protocol was developed to deal with such problems. It is called Carrier sense multiple access with collision detection or CSMA/CD. There are different Ethernet standards. Today, Ethernet cables look like thick telephone cables. They connect to boxes called hubs or switches. Each cable runs from a computer's network interface card (NIC) to such a box. This cable is called 10BaseT or 100BaseT, or 1000BaseT Cable.",moderately complex,"ss_annotator_1: The sentences are mostly simple in nature, althogh there are several complext sentences in the text.
ss_annotator_2: This seems like it would be on grade level for a third grader. There are a mix of sentence structures and sentence length. The compound sentences seem to be an appropriate amount of challenge that students would be able to comprehend using reading strategies.
ss_annotator_3: There are a few compound/complex sentences, but mostly simple sentences.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
273,2038,4,7.3,"Ethernet is a way of connecting computers together in a local area network or LAN. It has been the most widely used method of linking computers together in LANs since the 1990s. The basic idea of its design is that multiple computers have access to it and can send data at any time. This is comparatively easy to engineer.
If two computers send data at the same time, a collision will occur. When this happens, the data sent is not usable. In general, both computers will stop sending, and wait a random amount of time, before they try again. A special protocol was developed to deal with such problems. It is called Carrier sense multiple access with collision detection or CSMA/CD. There are different Ethernet standards. Today, Ethernet cables look like thick telephone cables. They connect to boxes called hubs or switches. Each cable runs from a computer's network interface card (NIC) to such a box. This cable is called 10BaseT or 100BaseT, or 1000BaseT Cable.",slightly complex,"ss_annotator_1: The sentences are mostly simple in nature, althogh there are several complext sentences in the text.
ss_annotator_2: This seems like it might be a bit easy for a fourth grade student on grade-level, but would seem like an appropriate passage for students below grade-level. There are some complex sentences but not a ton of transition words, multiple topics per sentence, etc.
ss_annotator_3: There are a few compound/complex sentences, but mostly simple sentences.",very complex,"vocab_annotator_1: There are too many vocabulary terms that aren't used in a normal setting. I put all the cable names in the complex words because the normal public doesn't use these words. Not one place in this article does it say anything about wifi or anything the students can relate to especially if the background knowledge isn't there. 
vocab_annotator_2: Even with some prior knowledge of basic computer understanding, this passage is very difficult to follow when you don't know the Tier 3 words very well. This passage is very vocab heavy, so a student would need to fully grasp the meaning of tier 2 and 3 words to actually comprehend the material. I personally wouldn't recommend this for independent reading because the average fourth grader would have a difficult time grasping what the information is due to lack of knowledge. 
vocab_annotator_3: overall this is not terribly complex but it has a ton of tier 3 words in it.","cable, comparatively, data, developed, engineer, hubs, interface, linking, method, occur, protocol, standards, switches","1000baset, 100baset, 10baset, carrier sense multiple access with collision detection, carrier sense multiple access with collision detection or csma/cd, collision, csma/cd, data, ethernet, hubs, lan, network, network interface card, network interface card (nic), nic, switches",telephone cables,"10baset, 100baset, 1000baset","Students are likely familiar with basic computer concepts and networks but may not be familiar with specific terms like Ethernet, LAN, CSMA/CD, or the technical details of network protocols and standards."
274,2051,3,3.87,"Under feudalism, taxes were not paid with money. They were paid in products and services. Presents and taxes had to be given to the lords by their vassals. At harvest time, the vassals gave shares of their crops to the lords. The vassals would grind their grain at the noble's granaries. They would give part of the grain to their lord. When animals were killed for food, part of the meat was given to the lords. The lords promised to give protection, peace, and safety to their vassals.
Manors were completely owned by the nobles. They were given from one generation to another. The noble's firstborn son took it all when his father died. Each manor had its own pasture lands, mill, wine press, church, and village. A manor had to let many people live there. Lords gave their servants food and a place to sleep, but they did not pay their servants money.",slightly complex,"ss_annotator_1: The text is comprised of mostly simple sentences.
ss_annotator_2: This seems just right for third grade because the sentences are mostly simple, with some compound sentences. A few of them towards the end of the sentence include more information for the reader to comprehend and details for them to remember.
ss_annotator_3: There are many simple and compound sentences. Some sentences contain multiple concepts.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
275,2051,4,3.87,"Under feudalism, taxes were not paid with money. They were paid in products and services. Presents and taxes had to be given to the lords by their vassals. At harvest time, the vassals gave shares of their crops to the lords. The vassals would grind their grain at the noble's granaries. They would give part of the grain to their lord. When animals were killed for food, part of the meat was given to the lords. The lords promised to give protection, peace, and safety to their vassals.
Manors were completely owned by the nobles. They were given from one generation to another. The noble's firstborn son took it all when his father died. Each manor had its own pasture lands, mill, wine press, church, and village. A manor had to let many people live there. Lords gave their servants food and a place to sleep, but they did not pay their servants money.",slightly complex,"ss_annotator_1: The text is comprised of mostly simple sentences.
ss_annotator_2: The sentences are simple and the compound sentences are pretty simple for fourth graders- easy to comprehend with some simple details.
ss_annotator_3: There are many simple and compound sentences. Some sentences contain multiple concepts.",moderately complex,"vocab_annotator_1: The article would be hard to understand without the background knowledge of the archaic words like granaries, lords, and vassals. Once those are understood the text would become very readable and an independent for many 4th graders. 
vocab_annotator_2: This passage has a lot of new vocab terms that are historically used, but are not commonly used in modern times. This would be a challenge to a typical fourth grader, but wouldn't stop them from comprehending what is being presented in the material. Based on the simple explanations, a student could use context clues to determine what some of the archaic or complex words mean.
vocab_annotator_3: Some complex words, but not enough to be overwhelming.","completely, generation, grain, mill, pasture, products, promised, protection, safety, services, taxes, village","feudalism, generation, granaries, manors, mill, pasture, pasture lands, vassals, wine press","feudalism, firstborn, granaries, lords, manors, noble, nobles, servants, vassals, wine press","feudalism, firstborn, vassals","Students are likely familiar with basic concepts of taxes and inheritance but may not be familiar with the specifics of feudalism, manorial systems, or the historical context of medieval Europe."
276,2052,3,6.05,"A fire alarm is an electronic sounder or a bell. The sounder makes a loud high pitched sound to alert people that there is a fire in the building. The sounders can be programmed to sound different tones. Most fire alarm sounders in Europe sound like a siren. The bell makes a continuous ringing sound. Some companies that make fire alarms are Wheelock and Simplex. There is also Fulleon who are best known for their Roshni electronic sounder. These sounders are often used around Europe and they have 32 user selectable tones. Sometimes, old-fashioned fire alarms are metal bells. Many fire alarm systems also have flashing lights. These are important for deaf people who cannot hear the fire alarm. Fire alarms are often used in schools and other places during fire drills. If somebody sets off a fire alarm without a good reason, it is called a false alarm. Setting off a false alarm is against the law almost everywhere.",slightly complex,"ss_annotator_1: Most sentences are simple sentences. There are only 1-2 more complex sentences in the text.
ss_annotator_2: Mostly simple sentences with a few that have multiple concepts. Easy to follow sentences for a third grader.
ss_annotator_3: There are many complex sentences, but they generally present one idea at a time in phrases (not interrupted).",not scored,not scored,not scored,not scored,not scored,not scored,not scored
277,2052,4,6.05,"A fire alarm is an electronic sounder or a bell. The sounder makes a loud high pitched sound to alert people that there is a fire in the building. The sounders can be programmed to sound different tones. Most fire alarm sounders in Europe sound like a siren. The bell makes a continuous ringing sound. Some companies that make fire alarms are Wheelock and Simplex. There is also Fulleon who are best known for their Roshni electronic sounder. These sounders are often used around Europe and they have 32 user selectable tones. Sometimes, old-fashioned fire alarms are metal bells. Many fire alarm systems also have flashing lights. These are important for deaf people who cannot hear the fire alarm. Fire alarms are often used in schools and other places during fire drills. If somebody sets off a fire alarm without a good reason, it is called a false alarm. Setting off a false alarm is against the law almost everywhere.",slightly complex,"ss_annotator_1: Most sentences are simple sentences. There are only 1-2 more complex sentences in the text.
ss_annotator_2: Mostly simple sentences and very easy to understand.
ss_annotator_3: While many sentences are complex, the phrases are very short, which might be slightly too easy for a grade 4 student.",moderately complex,"vocab_annotator_1: This feels like a nice 4th grade read without a ton of vocabulary based on the back ground knowledge assumption. The students many struggle with a company name, but nothing super hard in this one. 
vocab_annotator_2: This passage has some challenging vocab words that would require some pronunciation help, but a typical fourth grader would be able to determine meanings based on context clues within the sentence. Also, the tougher vocabulary is paired with simple explanations, so a student can piece together the information until they understand it. It's well balanced. 
vocab_annotator_3: Other than some company names, this has a very manageable number of complex words.","alert, continuous, deaf, drills, electronic, false, flashing, programmed, selectable, siren, sounder, tones","continuous, fulleon, roshni, simplex, siren, sounder, user selectable, wheelock",old-fashioned,"fulleon, roshni, simplex, wheelock","Students are likely familiar with fire alarms and fire drills from school safety procedures, but may not be familiar with specific brands or the concept of user-selectable tones in fire alarms."
278,2062,3,4.76,"Frogs are amphibians of the order Anura. There is not much difference between frogs and toads, and they are not classified separately. This is because the toad lifestyle, with its dry, rough, skin, is an adaptation to living in drier habitats. The toad form has evolved a number of times independently, an example of convergent evolution.
Frogs can live on land and in fresh water. They cannot survive in salt water. Their development is by metamorphosis. They usually hatch as tadpoles from eggs, which are laid by a female frog. The eggs are called frogspawn. Tadpoles have tails and gills. When they grow up, they lose their tails and gills and grow four long legs.
Adult frogs can jump with their legs. They have long tongues that they use to catch bugs. They make a sound called a croak. Some species live in trees, and some types of frog are protected by being poisonous. Frogs live all over the world.",very complex,"ss_annotator_1: Multiple sentences are complex and contain more than one concept.
ss_annotator_2: Some of the complex sentences and/or compound sentences have more than one concept to follow. This can be challenging for third graders.
ss_annotator_3: This text contains simple, compound, and complex sentences. The inclusion of compound and complex sentences creates a good amount of cognitive stimulation.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
279,2064,3,7.88,"A fungus (plural: fungi) is a kind of living organism: yeasts, moulds and mushrooms are types of fungi. The fungi are a separate kingdom of living things, different from animals and plants.
Fungi have cells with nuclei. Their cell walls contain chitin, unlike the cell walls of plants, which contain cellulose. These and other differences show that the fungi form a single group of related organisms, called the Eumycota or Eumycetes. They share a common ancestor and are monophyletic group.
Their basic mode of life is saprophytic: a fungus breaks down dead organic matter around it, and uses it as food.
Fungi reproduce both sexually and asexually. Some fungi grow mushrooms: these are fruiting bodies. Under the cap there are gills; the gills bear spores that will disperse, and may develop into new fungi. Otherwise, fungi use a sporangium to bear asexual spores by mitosis, or sexual spores by meiosis. The spores are haploid.",exceedingly complex,"ss_annotator_1: Many complex sentences in the text. Most sentences contain more than one concept.
ss_annotator_2: First, this text uses colons and semicolons, which students do not learn to use until middle school, so third graders will not know how to interpret them when reading. It also uses commas to set apart nonrestrictive/parenthetical phrases, as in ""unlike the cell walls of plants,"" another middle school skill. Of the 12 sentences in this text, only 4 are simple; most of the rest are complex. The Flesch Kincaid level of 7.88 means that it is written at a nearly 8th-grade level and out of the appropriate text complexity range for third graders.
ss_annotator_3: There are many complex and compound sentences  that have different concepts and several subordinate clauses.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
280,2064,4,7.88,"A fungus (plural: fungi) is a kind of living organism: yeasts, moulds and mushrooms are types of fungi. The fungi are a separate kingdom of living things, different from animals and plants.
Fungi have cells with nuclei. Their cell walls contain chitin, unlike the cell walls of plants, which contain cellulose. These and other differences show that the fungi form a single group of related organisms, called the Eumycota or Eumycetes. They share a common ancestor and are monophyletic group.
Their basic mode of life is saprophytic: a fungus breaks down dead organic matter around it, and uses it as food.
Fungi reproduce both sexually and asexually. Some fungi grow mushrooms: these are fruiting bodies. Under the cap there are gills; the gills bear spores that will disperse, and may develop into new fungi. Otherwise, fungi use a sporangium to bear asexual spores by mitosis, or sexual spores by meiosis. The spores are haploid.",exceedingly complex,"ss_annotator_1: Many complex sentences in the text. Most sentences contain more than one concept.
ss_annotator_2: The same rating will hold for 4th grade because they will not acquire any new skills that will help them read and understand the text independently. The colons and semi-colons will still provide challenges, as well as the complex sentences. The Flesch Kincaid level is also still out of the appropriate text complexity range for fourth graders.
ss_annotator_3: There are many complex and compound sentences that have different concepts and several subordinate clauses.",exceedingly complex,"vocab_annotator_1: I don't know how else to say this. This reads like a 7th grade text book. The amount of vocabulary and other words used that students would have no idea about. This would be overwhelming and cause a ton of frustration. 
vocab_annotator_2: Too many scientific words. Students would have to know A LOT of Greek and Latin roots to understand vocabulary
vocab_annotator_3: too many specialized words","ancestor, basic, contain, develop, differences, disperse, fungus, kingdom, matter, organic, organisms, related, reproduce, separate","asexually, cellulose, chitin, disperse, eumycetes, eumycota, eumycota or eumycetes, fruiting, fruiting bodies, fungi, fungus, fungus (fungi), gills, haploid, haploid, kingdom, meiosis, mitosis, monophyletic, moulds, mushrooms, nuclei, organic, organism, saprophytic, sexually, sporangium, spores, yeast, yeasts",,"fungus breaks down, under the cap","Students are likely familiar with basic plant and animal classifications and the concept of living organisms, but may not be familiar with the specific characteristics and reproduction methods of fungi or the terms ""monophyletic"" and ""saprophytic."""
281,2071,3,7.61,"Gamma rays are electromagnetic waves with the smallest wavelengths in the electromagnetic spectrum. They were discovered in 1900 by Paul Villard, and named in 1903 by Ernest Rutherford.
Gamma rays are like x-rays, but the waves are smaller in wavelength. Both gamma rays and x-rays are photons with very high energies, and gamma have even more energy. They are also a type of ionizing radiation. Gamma rays can travel through thicker materials than x-rays can.
Gamma rays are produced by some types of radioactive atoms. Cobalt-60 and potassium-40 are two isotopes that emit gamma rays. Cobalt-60 is created in accelerators and is used in hospitals. Potassium-40 occurs naturally. Small amounts of potassium-40 are in all plants and animals. Gamma rays from potassium-40 each have an energy of 1460 thousand electron volts (keV).
Gamma rays and X-rays can also be distinguished by their origin: X-rays are emitted by electrons outside the nucleus, while gamma rays are emitted by the nucleus.",moderately complex,"ss_annotator_1: Many sentences with multiple concepts.
ss_annotator_2: Most of the sentences in this text are simple or compound sentences that will easily be followed by third graders. These sentences generally have single concepts. The only sentence that may prove challenging is the final one since it has a colon, which they have not yet learned. The Flesch Kincaid level indicates that it is outside the range of text complexity for third grade, but that is mainly due to vocabulary.
ss_annotator_3: There are complex and compound sentences with some simple sentences. A few sentences have multiple concepts that might be challenging for a third grader to follow.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
